ds,y
2015-11-11,15.85
2015-11-12,16.05
2015-11-13,16.0
2015-11-16,16.05
2015-11-17,16.15
2015-11-18,16.25
2015-11-19,16.5
2015-11-20,16.65
2015-11-23,16.75
2015-11-24,16.25
2015-11-25,16.05
2015-11-27,15.35
2015-11-30,15.55
2015-12-01,15.65
2015-12-02,15.85
2015-12-03,15.7
2015-12-04,15.55
2015-12-07,15.7
2015-12-08,15.95
2015-12-09,16.1
2015-12-10,16.15
2015-12-11,16.25
2015-12-14,16.4
2015-12-15,16.4
2015-12-16,16.7
2015-12-17,16.6
2015-12-18,16.7
2015-12-21,16.7
2015-12-22,16.7
2015-12-23,16.1
2015-12-24,15.9
2015-12-28,15.9
2015-12-29,16.1
2015-12-30,16.25
2015-12-31,16.5
2016-01-04,16.35
2016-01-05,16.35
2016-01-06,16.6
2016-01-07,16.5
2016-01-08,16.4
2016-01-11,16.25
2016-01-12,16.0
2016-01-13,16.1
2016-01-14,16.05
2016-01-15,16.1
2016-01-18,16.1
2016-01-19,16.1
2016-01-20,15.75
2016-01-21,15.25
2016-01-22,15.1
2016-01-25,15.25
2016-01-26,15.25
2016-01-27,15.15
2016-01-28,15.15
2016-01-29,15.15
2016-02-01,15.55
2016-02-02,16.0
2016-02-03,16.7
2016-02-04,16.25
2016-02-05,16.2
2016-02-08,16.15
2016-02-09,16.0
2016-02-10,15.75
2016-02-11,15.65
2016-02-12,15.8
2016-02-15,15.75
2016-02-16,15.7
2016-02-17,15.55
2016-02-18,15.6
2016-02-19,15.85
2016-02-22,15.7
2016-02-23,15.95
2016-02-24,16.0
2016-02-25,16.05
2016-02-26,16.1
2016-02-29,16.2
2016-03-01,16.15
2016-03-02,16.55
2016-03-03,16.9
2016-03-04,17.0
2016-03-07,17.0
2016-03-08,16.5
2016-03-09,16.45
2016-03-10,16.25
2016-03-11,16.3
2016-03-14,16.45
2016-03-15,16.35
2016-03-16,16.4
2016-03-17,16.5
2016-03-18,16.5
2016-03-21,16.45
2016-03-22,16.75
2016-03-23,16.85
2016-03-24,16.9
2016-03-29,16.8
2016-03-30,16.7
2016-03-31,16.9
2016-04-01,16.85
2016-04-04,16.8
2016-04-05,16.8
2016-04-06,16.75
2016-04-07,16.75
2016-04-08,16.75
2016-04-11,16.7
2016-04-12,16.7
2016-04-13,16.75
2016-04-14,16.95
2016-04-15,17.1
2016-04-18,17.2
2016-04-19,17.3
2016-04-20,17.45
2016-04-21,17.4
2016-04-22,17.1
2016-04-25,16.95
2016-04-26,16.95
2016-04-27,16.95
2016-04-28,17.1
2016-04-29,17.1
2016-05-03,16.95
2016-05-04,16.9
2016-05-05,16.9
2016-05-06,16.9
2016-05-09,16.9
2016-05-10,16.95
2016-05-11,17.1
2016-05-12,17.25
2016-05-13,17.3
2016-05-16,17.35
2016-05-17,17.15
2016-05-18,17.15
2016-05-19,17.3
2016-05-20,17.35
2016-05-23,17.2
2016-05-24,17.35
2016-05-25,17.25
2016-05-26,17.25
2016-05-27,17.1
2016-05-30,17.05
2016-05-31,17.0
2016-06-02,17.0
2016-06-03,16.95
2016-06-06,17.15
2016-06-07,17.5
2016-06-08,17.9
2016-06-09,18.25
2016-06-10,18.25
