Date,Price,Open,High,Low,Vol.,Change %
2019-07-08,27.55,28.0,28.0,27.2,2560000.0,-1.08
2019-07-05,27.85,30.0,30.0,27.55,14250000.0,0.36
2019-07-04,27.75,28.2,28.2,27.45,3640000.0,-1.42
2019-07-03,28.15,28.2,28.3,28.0,6190000.0,0.0
2019-07-02,28.15,28.3,28.3,28.0,7980000.0,0.0
2019-07-01,28.15,27.7,28.55,27.35,4830000.0,0.18
2019-06-28,28.1,27.6,28.35,27.6,24610000.0,2.0
2019-06-27,27.55,27.55,28.0,27.55,5350000.0,0.18
2019-06-26,27.5,27.45,27.9,27.4,3240000.0,0.18
2019-06-25,27.45,27.3,28.0,27.3,8710000.0,0.55
2019-06-24,27.3,27.15,27.35,27.15,4050000.0,0.18
2019-06-21,27.25,27.5,27.5,27.15,1210000.0,0.37
2019-06-20,27.15,27.0,27.5,27.0,9180000.0,0.56
2019-06-19,27.0,27.25,27.3,27.0,18550000.0,-1.1
2019-06-18,27.3,27.5,27.65,27.1,9910000.0,0.18
2019-06-17,27.25,27.3,27.35,27.1,20530000.0,0.18
2019-06-14,27.2,27.5,27.5,27.05,5300000.0,-0.55
2019-06-13,27.35,27.5,27.7,27.1,22560000.0,-0.55
2019-06-12,27.5,27.6,27.65,27.3,22670000.0,-0.18
2019-06-11,27.55,27.5,27.7,27.2,1710000.0,0.36
2019-06-10,27.45,27.1,27.6,27.05,1330000.0,0.18
2019-06-07,27.4,27.9,27.9,27.1,1780000.0,-1.08
2019-06-06,27.7,27.7,28.0,27.65,8480000.0,0.0
2019-06-04,27.7,27.65,27.8,27.6,6880000.0,0.18
2019-06-03,27.65,27.4,27.8,27.4,1890000.0,0.73
2019-05-31,27.45,27.65,27.65,27.0,7500000.0,-0.72
2019-05-30,27.65,27.8,27.8,27.4,11920000.0,-1.25
2019-05-29,28.0,28.1,28.3,27.8,17190000.0,-1.23
2019-05-28,28.35,26.95,28.65,26.9,28200000.0,5.78
2019-05-27,26.8,26.5,27.0,26.5,889200.0,1.32
2019-05-24,26.45,26.3,27.0,26.2,12180000.0,1.15
